,Date,Airline,Source,Destination,Departure Time,Arrival Time,Total Stops,Duration,Price
0,30-06-2022,GoFirst,BOM,BLR,06:00,07:40,direct,1h 40m,5281
1,30-06-2022,Vistara,BOM,BLR,16:30,18:15,direct,1h 45m,4843
2,30-06-2022,AirAsia India,BOM,BLR,21:20,23:10,direct,1h 50m,4518
3,30-06-2022,Vistara,BOM,BLR,06:00,07:50,direct,1h 50m,4843
4,01-07-2022,Vistara,BOM,BLR,16:30,18:15,direct,1h 45m,5072
5,01-07-2022,Vistara,BOM,BLR,06:00,07:50,direct,1h 50m,5072
6,30-06-2022,Vistara,BOM,BLR,19:10,20:55,direct,1h 45m,5188
7,30-06-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,4913
8,30-06-2022,IndiGo,BOM,BLR,06:05,07:40,direct,1h 35m,5230
9,30-06-2022,GoFirst,BOM,BLR,06:00,07:40,direct,1h 40m,5230
10,30-06-2022,GoFirst,BOM,BLR,15:40,17:25,direct,1h 45m,5230
11,30-06-2022,GoFirst,BOM,BLR,20:10,21:55,direct,1h 45m,5230
12,28-06-2022,IndiGo,BOM,BLR,11:50,13:20,direct,1h 30m,5983
13,27-06-2022,IndiGo,BOM,BLR,11:50,13:20,direct,1h 30m,6013
14,29-06-2022,IndiGo,BOM,BLR,11:50,13:20,direct,1h 30m,6013
15,01-07-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,6608
16,30-06-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,6608
17,30-06-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,6608
18,28-06-2022,IndiGo,BOM,BLR,06:05,07:40,direct,1h 35m,5983
19,03-07-2022,IndiGo,BOM,BLR,06:05,07:40,direct,1h 35m,6013
20,27-06-2022,IndiGo,BOM,BLR,06:05,07:40,direct,1h 35m,6013
21,29-06-2022,IndiGo,BOM,BLR,06:05,07:40,direct,1h 35m,6013
22,01-07-2022,GoFirst,BOM,BLR,06:45,08:20,direct,1h 35m,6069
23,01-07-2022,GoFirst,BOM,BLR,15:50,17:40,direct,1h 50m,6069
24,28-06-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,6331
25,27-06-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,6331
26,29-06-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,6331
27,02-07-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,6364
28,01-07-2022,Air India,BOM,BLR,06:10,07:50,direct,1h 40m,6608
29,30-06-2022,Air India,BOM,BLR,06:10,07:50,direct,1h 40m,6608
30,30-06-2022,Vistara,BOM,BLR,16:00,17:45,direct,1h 45m,6766
31,30-06-2022,Vistara,BOM,BLR,17:30,19:15,direct,1h 45m,6766
32,30-06-2022,Vistara,BOM,BLR,07:00,08:50,direct,1h 50m,6766
33,30-06-2022,IndiGo,BOM,BLR,11:50,13:20,direct,1h 30m,6798
34,01-07-2022,IndiGo,BOM,BLR,14:40,16:15,direct,1h 35m,6798
35,30-06-2022,IndiGo,BOM,BLR,14:40,16:15,direct,1h 35m,6798
36,30-06-2022,IndiGo,BOM,BLR,19:05,20:45,direct,1h 40m,6798
37,30-06-2022,IndiGo,BOM,BLR,17:10,18:50,direct,1h 40m,6798
38,01-07-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,6818
39,01-07-2022,IndiGo,BOM,BLR,17:10,18:50,direct,1h 40m,6903
40,30-06-2022,IndiGo,BOM,BLR,20:30,22:10,direct,1h 40m,6903
41,30-06-2022,Vistara,BOM,BLR,09:05,10:45,direct,1h 40m,7083
42,01-07-2022,IndiGo,BOM,BLR,11:50,13:20,direct,1h 30m,7166
43,01-07-2022,Vistara,BOM,BLR,09:05,10:45,direct,1h 40m,7359
44,01-07-2022,Vistara,BOM,BLR,17:30,19:15,direct,1h 45m,7359
45,28-06-2022,Vistara,BOM,BLR,09:05,10:45,direct,1h 40m,7397
46,27-06-2022,Vistara,BOM,BLR,17:30,19:15,direct,1h 45m,7397
47,27-06-2022,Vistara,BOM,BLR,16:00,17:45,direct,1h 45m,7397
48,29-06-2022,Vistara,BOM,BLR,17:30,19:15,direct,1h 45m,7397
49,29-06-2022,Vistara,BOM,BLR,16:00,17:45,direct,1h 45m,7397
50,28-06-2022,Vistara,BOM,BLR,16:30,18:15,direct,1h 45m,7397
51,28-06-2022,Vistara,BOM,BLR,16:00,17:45,direct,1h 45m,7397
52,02-07-2022,Vistara,BOM,BLR,16:00,17:45,direct,1h 45m,7397
53,02-07-2022,Vistara,BOM,BLR,17:30,19:15,direct,1h 45m,7397
54,03-07-2022,Vistara,BOM,BLR,19:10,20:55,direct,1h 45m,7714
55,28-06-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,7783
56,28-06-2022,Air India,BOM,BLR,06:10,07:50,direct,1h 40m,7783
57,28-06-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,7783
58,03-07-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,7822
59,03-07-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,7822
60,27-06-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,7822
61,27-06-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,7822
62,02-07-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,7822
63,29-06-2022,Air India,BOM,BLR,09:30,11:10,direct,1h 40m,7822
64,29-06-2022,Air India,BOM,BLR,16:40,18:20,direct,1h 40m,7822
65,30-06-2022,IndiGo,BOM,BLR,22:40,00:10,direct,1h 30m,5230
66,01-07-2022,GoFirst,BOM,BLR,20:45,22:50,direct,2h 05m,5999
67,01-07-2022,IndiGo,BOM,BLR,07:35,09:20,direct,1h 45m,6798
68,01-07-2022,IndiGo,BOM,BLR,07:00,08:45,direct,1h 45m,6798
69,30-06-2022,IndiGo,BOM,BLR,07:35,09:20,direct,1h 45m,6798
70,01-07-2022,AirAsia India,BOM,BLR,13:05,14:45,direct,1h 40m,6894
71,01-07-2022,IndiGo,BOM,BLR,09:55,11:35,direct,1h 40m,6903
72,01-07-2022,IndiGo,BOM,BLR,08:30,10:15,direct,1h 45m,6903
73,30-06-2022,IndiGo,BOM,BLR,08:30,10:15,direct,1h 45m,6903
74,30-06-2022,IndiGo,BOM,BLR,09:55,11:35,direct,1h 40m,7008
75,27-06-2022,GoFirst,BOM,BLR,06:00,07:40,direct,1h 40m,7059
76,29-06-2022,GoFirst,BOM,BLR,06:00,07:40,direct,1h 40m,7071
77,28-06-2022,GoFirst,BOM,BLR,06:00,07:40,direct,1h 40m,7071
78,27-06-2022,GoFirst,BOM,BLR,15:40,17:25,direct,1h 45m,7071
